keen.timestamp,user.name.first,user.name.last,user.name.full,item.name,item.price,payment method
3/1/2013,tobias,funke,tobias funke,blue paint,9.87,amex
3/2/2013,lindsay,funke,lindsay funke,beads set,65.34,amex
4/7/2013,don,draper,don draper,pack of cigarettes,3.21,amex
3/4/2013,don,draper,don draper,bottle of scotch,65.21,amex
3/5/2013,don,draper,don draper,sunglasses,23.21,amex
4/7/2013,don,draper,don draper,hair gel,6.32,amex
4/6/2013,tobias,funke,tobias funke,jean shorts,13.44,amex
4/7/2013,lindsay,funke,lindsay funke,bejeweled tank top,12.65,amex
3/9/2013,maeby,funke,maeby funke,red leather jacket,89.65,amex
3/10/2013,joan,harris,joan harris,gold pencil necklace,77.21,visa
3/11/2013,roger,sterling,roger sterling,scotch,65.21,amex
3/12/2013,liz,lemon,liz lemon,1 dozen doughnuts,10.3,visa
3/13/2013,liz,lemon,liz lemon,1 dozen doughnuts,10.3,visa
3/14/2013,liz,lemon,liz lemon,1 dozen doughnuts,10.3,visa
4/7/2013,liz,lemon,liz lemon,spanx,46.25,visa
3/16/2013,jack,donaghy,jack donaghy,scotch,65.21,amex
3/17/2013,phil,dunphy,phil dunphy,iPad,399,visa
3/18/2013,cameron,tucker,cameron tucker,red clown nose,3.65,visa
4/5/2013,cameron,tucker,cameron tucker,face paint,12.41,visa
3/20/2013,haley,dunphy,haley dunphy,bejeweled tank top,12.65,visa
3/21/2013,cameron,tucker,cameron tucker,1 dozen doughnuts,10.3,visa
3/22/2013,cameron,tucker,cameron tucker,1 dozen doughnuts,10.3,visa
3/23/2013,cameron,tucker,cameron tucker,1 dozen doughnuts,10.3,visa
3/24/2013,hipster,hacker,hipster hacker,chemex coffee maker,26.32,bitcoin
3/1/2013,hipster,hacker,hipster hacker,chemex filters,3.99,bitcoin
3/15/2013,hipster,hacker,hipster hacker,chemex filters,3.99,bitcoin
4/1/2013,hipster,hacker,hipster hacker,chemex filters,3.99,bitcoin
3/29/2013,stephen,colbert,stephen colbert,patriotic tie,45.56,amex
3/30/2013,devops,borat,devops borat,hadoop license,3000,amex
3/31/2013,devops,borat,devops borat,nagios license,1200,amex
4/1/2013,fred,armisen,fred armisen,bike horn with a bird on it,35.62,visa
4/2/2013,carrie,brownstein,carrie brownstein,handbag with a bird on it,28.21,visa
4/3/2013,fred,armisen,fred armisen,sweater with a deer on it,156.87,visa
3/15/2013,michael,bluth,michael bluth,whistle,0.5,amex
3/15/2013,michael,bluth,michael bluth,whistle,0.5,amex
3/15/2013,michael,bluth,michael bluth,whistle,0.5,amex
3/15/2013,michael,bluth,michael bluth,whistle,0.5,amex
3/15/2013,michael,bluth,michael bluth,whistle,0.5,amex
3/15/2013,michael,bluth,michael bluth,whistle,0.5,amex
3/15/2013,michael,bluth,michael bluth,whistle,0.5,amex
3/15/2013,michael,bluth,michael bluth,whistle,0.5,amex
3/15/2013,michael,bluth,michael bluth,whistle,0.5,amex
3/15/2013,michael,bluth,michael bluth,whistle,0.5,amex
3/15/2013,michael,bluth,michael bluth,whistle,0.5,amex
3/15/2013,michael,bluth,michael bluth,whistle,0.5,amex
3/15/2013,michael,bluth,michael bluth,whistle,0.5,amex
3/15/2013,michael,bluth,michael bluth,whistle,0.5,amex
4/18/2013,gob,bluth,gob bluth,coffin,125,amex
4/19/2013,gob,bluth,gob bluth,dove,5.63,amex
4/19/2013,gob,bluth,gob bluth,dove,5.63,amex
4/21/2013,gob,bluth,gob bluth,dove,5.63,amex
4/22/2013,gob,bluth,gob bluth,dove,5.63,amex
4/23/2013,gob,bluth,gob bluth,dove,5.63,amex
3/1/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/2/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/3/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/4/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/5/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/6/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/7/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/8/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/9/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/10/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/11/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/12/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/13/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/14/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/15/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/16/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/17/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/18/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/19/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/20/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/21/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/22/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/23/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/24/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/25/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/26/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/27/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/28/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/29/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/30/2013,george michael,bluth,george michael bluth,banana,0.36,amex
3/31/2013,george michael,bluth,george michael bluth,banana,0.36,amex
4/1/2013,george michael,bluth,george michael bluth,banana,0.36,amex
4/2/2013,george michael,bluth,george michael bluth,banana,0.36,amex
